Nome Pessoa,Matrícula,CPF,Cargo,A pessoa é Gestor? (SIM/NÃO),E-mail corporativo,Unidade de Trabalho,"Vínculo com a Empresa (Próprio, Terceiro e Outros)",CPF Gestor Direto,Turno de trabalho (Horário Início),Turno de trabalho (Horário Fim),Função(ões),Data de início na função,Data Último Mapeamento Gestor,Nome Responsável Mapeamento,Necessidade Supervisão (Mapeamento Gestor),Leitura Contexto (Mapeamento Gestor),Agilidade (Mapeamento Gestor),Pressão Temporal (Mapeamento Gestor),Flexibilidade ao Imprevisto (Mapeamento Gestor),Média Mapeamento Gestor,Data Último Automapeamento,Necessidade Supervisão (Automapeamento),Leitura Contexto (Automapeamento),Agilidade (Automapeamento),Pressão Temporal (Automapeamento),Flexibilidade ao Imprevisto (Automapeamento),Média Automapeamento,Média Mapeamento Final,Data Último Mapeamento,Nome Coletivo Pessoa está alocada,"Tipo do Coletivo que a pessoa está alocada (Mínimo Simples, Mínimo Híbrido, Expandido Simples, Expandido de Gestor)",Nome do Coletivo PAI do Coletivo que a pessoa está alocada (Célula AE),Nome Coletivo de Gestor,Similaridade Real,Data Última Similaridade Real,Similaridade Planejada
Elizabeth Adams,50025277,57995527683,ENGENHEIRO,Não,elizabeth.adams@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor DEV - Aeronaves Militares,01-15-13,2024-10-02 20:23:18 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Elizabeth Adams,50025277,57995527683,ENGENHEIRO,Não,elizabeth.adams@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Civis,01-15-13,2024-10-02 20:23:18 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Ralph Bennett,50041785,6760871677,ENGENHEIRO,Não,ralph.bennett@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Suporte Operacional,11-01-17,2024-10-02 20:23:27 UTC,Susan Carter,8,7,8,7,9,7.8,2024-10-02 20:23:27 UTC,8,7,9,8,8,8,7.9,2024-10-02 20:23:27 UTC,Suporte Operacional - Turno B,Mínimo Simples,Suporte Operacional,SW EMBARCADO: DEV - V&V,,,
Gregory Hunter,50055929,62924562694,ENGENHEIRO,Não,gregory.hunter@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Integração e Interface,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Gloria Reynolds,50041625,44380933687,ENGENHEIRO,Não,gloria.reynolds@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Integração e Interface,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Gloria Reynolds,50041625,44380933687,ENGENHEIRO,Não,gloria.reynolds@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,10-10-17,2024-02-21 17:20:32 UTC,Susan Carter,9,8,5,7,6,7,2024-02-21 17:20:32 UTC,9,9,7,8,6,7.8,7.4,2024-02-21 17:20:32 UTC,,,,,,,
Agnella Carter,50051648,40681710683,ENGENHEIRO,Não,agnella.carter@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Q&A de Processos,01-06-21,2024-10-02 20:28:43 UTC,,6,6,6,6,6,6,2024-10-02 20:28:43 UTC,6,6,6,6,6,6,6,2024-10-02 20:28:43 UTC,,,,,,,
Agnella Carter,50051648,40681710683,ENGENHEIRO,Não,agnella.carter@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Secretário(a),01-06-21,2024-10-02 20:28:43 UTC,,4,4,4,4,4,4,2024-10-02 20:28:43 UTC,4,4,4,4,4,4,4,2024-10-02 20:28:43 UTC,,,,,,,
Gregory Hunter,50055929,62924562694,ENGENHEIRO,Não,gregory.hunter@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,12-16-21,2023-04-05 15:15:54 UTC,Susan Carter,4,4,4,4,4,4,2023-04-05 15:15:54 UTC,0,0,0,0,0,0,4,,,,,,,,
Agnella Carter,50051648,40681710683,ENGENHEIRO,Não,agnella.carter@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor Técnico de Q&A,01-06-21,2024-10-02 20:28:43 UTC,,11,10,9,9,9,9.6,2024-10-02 20:28:43 UTC,10,10,11,9,10,10,9.8,2024-10-02 20:28:43 UTC,,,,,,,
Agnella Carter,50051648,40681710683,ENGENHEIRO,Não,agnella.carter@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Regulamentos de Aviação,01-06-21,2024-10-02 20:28:43 UTC,,9,9,10,10,10,9.6,2024-10-02 20:28:43 UTC,0,0,0,0,0,0,9.6,,,,,,,,
Alan Edwards,50051649,33620080623,ENGENHEIRO,Não,alan.edwards@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,V&V SW - Aeronaves Militares,01-06-21,2024-10-02 20:29:03 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Agnella Carter,50051648,40681710683,ENGENHEIRO,Não,agnella.carter@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Gerente de Desenvolvimento - Software Embarcado,01-06-21,2024-10-02 20:28:43 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Agnella Carter,50051648,40681710683,ENGENHEIRO,Não,agnella.carter@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Civis,01-06-21,2024-10-02 20:28:43 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Agnella Carter,50051648,40681710683,ENGENHEIRO,Não,agnella.carter@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Integração e Interface,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Amelia Morton,50045348,9605593610,ENGENHEIRO,Não,amelia.morton@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Militares,10-09-18,2024-10-02 20:34:44 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Amelia Morton,50045348,9605593610,ENGENHEIRO,Não,amelia.morton@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Regulamentos de Aviação,10-09-18,2024-10-02 20:34:44 UTC,,8,8,8,8,8,8,2024-10-02 20:34:44 UTC,0,0,0,0,0,0,8,,,,,,,,
Amelia Morton,50045348,9605593610,ENGENHEIRO,Não,amelia.morton@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Q&A de Processos,10-09-18,2024-10-02 20:34:44 UTC,,10,8,10,9,10,9.4,2024-10-02 20:34:44 UTC,10,10,11,9,10,10,9.7,2024-10-02 20:34:44 UTC,,,,,,,
Andrew Williams,50050750,54469841617,ENGENHEIRO,Não,andrew.williams@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Integração e Interface,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,SW EMBARCADO: DEV - V&V,Expandido de Gestor,,SW EMBARCADO: DEV - V&V,,,
Amelia Morton,50045348,9605593610,ENGENHEIRO,Não,amelia.morton@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Integração e Interface,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,SW EMBARCADO: DEV - V&V,Expandido de Gestor,,SW EMBARCADO: DEV - V&V,,,
Alan Edwards,50051649,33620080623,ENGENHEIRO,Não,alan.edwards@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Integração e Interface,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Alan Edwards,50051649,33620080623,ENGENHEIRO,Não,alan.edwards@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor DEV - Aeronaves Civis,01-06-21,2024-10-02 20:29:03 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Alan Edwards,50051649,33620080623,ENGENHEIRO,Não,alan.edwards@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Q&A de Processos,01-06-21,2024-10-02 20:29:03 UTC,,9,10,9,10,9,9.4,2024-10-02 20:29:03 UTC,10,10,11,9,10,10,9.7,2024-10-02 20:29:03 UTC,,,,,,,
Alan Edwards,50051649,33620080623,ENGENHEIRO,Não,alan.edwards@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Regulamentos de Aviação,01-06-21,2024-10-02 20:29:03 UTC,,7,8,6,7,6,6.8,2024-10-02 20:29:03 UTC,0,0,0,0,0,0,6.8,,,,,,,,
Andrew Williams,50050750,54469841617,ENGENHEIRO,Não,andrew.williams@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Q&A de Processos,09-10-20,2024-10-02 20:34:57 UTC,,9,10,9,10,9,9.4,2024-10-02 20:34:57 UTC,10,10,11,9,10,10,9.7,2024-10-02 20:34:57 UTC,,,,,,,
Andrew Williams,50050750,54469841617,ENGENHEIRO,Não,andrew.williams@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor Técnico de Q&A,09-10-20,2024-10-02 20:34:57 UTC,,0,0,0,0,0,0,,10,10,11,9,10,10,10,2024-10-02 20:34:57 UTC,,,,,,,
Andrew Williams,50050750,54469841617,ENGENHEIRO,Não,andrew.williams@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Civis,09-10-20,2024-10-02 20:34:57 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Andrew Williams,50050750,54469841617,ENGENHEIRO,Não,andrew.williams@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Garantia de Qualidade,09-10-20,2024-10-02 20:34:57 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Arnold Stewart,50053224,35723282689,ENGENHEIRO,Não,arnold.stewart@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor Técnico de Q&A,05-07-21,2023-03-29 13:18:20 UTC,,11,10,9,9,9,9.6,2023-03-29 13:18:20 UTC,10,10,11,9,10,10,9.8,2023-03-29 13:18:20 UTC,,,,,,,
Alanis Guillen,405060,88881313022,ESTAGIÁRIO,Não,alanis.guillen@situated.com.br,,Outros,42006762656,7:00:00,17:00:00,Integração e Interface,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Darla Jones,50051736,60559420625,ENGENHEIRO,Não,darla.jones@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,01-06-21,2023-11-29 13:53:23 UTC,Susan Carter,5,6,5,7,6,5.8,2023-11-29 13:53:23 UTC,6,6,6,6,6,6,5.9,2023-11-29 13:53:23 UTC,,,,,,,
Oliver Simmons,50042048,33102852602,ENGENHEIRO,Não,oliver.simmons@situated.com.br,Belo Horizonte,Próprio,44574740612,7:00:00,17:00:00,DEV - Aeronaves Militares,07-12-17,2024-01-09 18:36:31 UTC,David Bennett,9,8,9,4,5,7,2024-01-09 18:36:31 UTC,9,9,8,6,7,7.8,7.4,2024-01-09 18:36:31 UTC,Aviação Militar: DEV SW Engenharia,Mínimo Simples,DEV: Aviação Militar,DEV: Aviação Militar,,,
Michael O'brien,50047432,14514571628,ENGENHEIRO,Não,michael.obrien@situated.com.br,Belo Horizonte,Próprio,57087628615,7:00:00,17:00:00,V&V SW - Aeronaves Militares,05-08-19,2024-01-09 17:06:35 UTC,Bruce Cole,5,4,4,2,3,3.6,2024-01-09 17:06:35 UTC,5,4,6,3,2,4,3.8,2024-01-09 17:06:35 UTC,Aviação Militar: V&V SW Engenharia,Mínimo Simples,V&V: Aviação Militar,V&V: Aviação Militar,,,
Beverly Gonzalez,50046588,31669562638,ENGENHEIRO,Não,beverly.gonzalez@situated.com.br,Belo Horizonte,Próprio,57087628615,7:00:00,17:00:00,V&V SW - Aeronaves Militares,02-06-19,2024-01-09 17:06:36 UTC,Bruce Cole,4,4,6,3,3,4,2024-01-09 17:06:36 UTC,5,5,6,5,4,5,4.5,2024-01-09 17:06:36 UTC,Aviação Militar: V&V SW Engenharia,Mínimo Simples,V&V: Aviação Militar,V&V: Aviação Militar,,,
Reece Smith,50050730,61755939604,ENGENHEIRO,Não,reece.smith@situated.com.br,Belo Horizonte,Próprio,57087628615,7:00:00,17:00:00,V&V SW - Aeronaves Militares,09-10-20,2024-01-09 17:06:35 UTC,Bruce Cole,6,5,6,3,4,4.8,2024-01-09 17:06:35 UTC,7,4,5,4,3,4.6,4.7,2024-01-09 17:06:35 UTC,Aviação Militar: V&V SW Engenharia,Mínimo Simples,V&V: Aviação Militar,V&V: Aviação Militar,,,
Juan Watson,50041481,66872613637,ENGENHEIRO,Não,juan.watson@situated.com.br,Belo Horizonte,Próprio,57087628615,7:00:00,17:00:00,V&V SW - Aeronaves Militares,09-15-17,2024-01-09 17:06:35 UTC,Bruce Cole,3,4,4,2,1,2.8,2024-01-09 17:06:35 UTC,2,3,4,3,1,2.6,2.7,2024-01-09 17:06:35 UTC,Aviação Militar: V&V SW Engenharia,Mínimo Simples,V&V: Aviação Militar,V&V: Aviação Militar,,,
Arnold Stewart,50053224,35723282689,ENGENHEIRO,Não,arnold.stewart@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Civis,05-07-21,2023-03-29 13:18:22 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Teresa Powell,50039631,50632683660,ENGENHEIRO,Não,teresa.powell@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,01-16-17,2023-03-29 19:30:38 UTC,Susan Carter,9,8,5,5,6,6.6,2023-03-29 19:30:38 UTC,9,9,7,8,6,7.8,0,2023-03-29 19:30:38 UTC,,,,,,,
Dylan Smith,50019429,32228156663,ENGENHEIRO,Não,dylan.smith@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor Técnico de Q&A,10-04-11,2023-03-29 13:18:15 UTC,,9,8,5,5,6,6.6,2023-03-29 13:18:15 UTC,9,9,7,8,6,7.8,0,2023-03-29 13:18:15 UTC,,,,,,,
Kayla Mitchell,50041653,1540341690,ENGENHEIRO,Não,kayla.mitchell@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,11-11-09,2024-02-21 17:21:31 UTC,Susan Carter,9,10,9,11,9,9.6,2024-02-21 17:21:31 UTC,10,10,11,9,10,10,9.8,2024-02-21 17:21:31 UTC,,,,,,,
Alan Harvey,50053050,23626585620,TECHNICAL CONSULTOR,Não,alan.harvey@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor de Q&P,04-20-21,2023-03-29 13:18:16 UTC,,9,8,9,7,10,8.6,2023-03-29 13:18:16 UTC,0,0,0,0,0,0,8.6,,,,,,,,
George Elliott,50042137,68592188601,ENGENHEIRO,Não,george.elliott@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor Técnico de Q&A,12-16-21,2023-03-29 13:18:16 UTC,,9,8,9,9,7,8.4,2023-03-29 13:18:16 UTC,8,7,7,8,6,7.2,7.8,2023-03-29 13:18:16 UTC,,,,,,,
Ashley Wright,50017881,21158205686,ASSISTENTE I,Não,ashley.wright@situated.com.br,Belo Horizonte,Terceiro,77163080689,7:00:00,17:00:00,Secretário(a),04-11-11,2023-03-29 13:18:16 UTC,James Miller,4,5,6,7,5,5.4,2023-03-29 13:18:16 UTC,5,6,6,8,7,6.4,5.9,2023-03-29 13:18:16 UTC,G1: DEV - SW Embarcado,Expandido de Gestor,SW EMBARCADO: DEV - V&V,G1: DEV - SW Embarcado,,,
Albert Brown,50041754,7981941628,ENGENHEIRO,Não,albert.brown@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,V&V SW - Aeronaves Militares,11-01-17,2023-03-29 13:18:16 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Albert Brown,50041754,7981941628,ENGENHEIRO,Não,albert.brown@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Consultor DEV - Aeronaves Civis,11-01-17,2023-07-11 17:22:36 UTC,Susan Carter,11,8,9,9,10,9.4,2023-07-11 17:22:36 UTC,0,0,0,0,0,0,9.4,,,,,,,,
Gregory Hunter,50055929,62924562694,ENGENHEIRO,Não,gregory.hunter@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Consultor DEV - Aeronaves Militares,12-16-21,2023-04-05 15:13:53 UTC,Susan Carter,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Gregory Hunter,50055929,62924562694,ENGENHEIRO,Não,gregory.hunter@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,V&V SW - Aeronaves Civis,12-16-21,2023-03-29 13:18:24 UTC,,5,5,4,4,4,4.4,2023-03-29 13:18:24 UTC,3,2,2,1,1,1.8,0,2023-03-29 13:18:24 UTC,,,,,,,
Emily Williams,50043708,39679993604,ENGENHEIRO,Não,emily.williams@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Militares,03-09-18,2023-03-29 13:18:25 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Lisa Wilson,50047610,64742141636,ENGENHEIRO,Não,lisa.wilson@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Civis,06-05-19,2023-03-29 13:18:25 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Deborah Brown,50053229,77742417600,ENGENHEIRO,Não,deborah.brown@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Performance,05-07-21,2023-03-29 13:18:24 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Dylan Smith,50019429,32228156663,ENGENHEIRO,Não,dylan.smith@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Q&A de Processos,10-04-11,2023-03-29 13:18:15 UTC,,12,12,12,12,12,12,2023-03-29 13:18:15 UTC,12,12,12,12,12,12,12,2023-03-29 13:18:15 UTC,,,,,,,
Lisa Wilson,50047610,64742141636,ENGENHEIRO,Não,lisa.wilson@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,V&V SW - Performance,06-05-19,2023-03-29 13:18:25 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Melanie Lee,50041267,26274463631,ENGENHEIRO,Não,melanie.lee@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,08-11-17,2023-07-18 18:37:10 UTC,Susan Carter,8,9,6,9,7,7.8,2023-07-18 18:37:10 UTC,9,9,7,8,6,7.8,7.8,2023-07-18 18:37:10 UTC,,,,,,,
Alan Harvey,50053050,23626585620,TECHNICAL CONSULTOR,Não,alan.harvey@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,V&V SW - Performance,04-20-21,2023-03-29 13:18:15 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Melanie Lee,50041267,26274463631,ENGENHEIRO,Não,melanie.lee@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Militares,08-11-17,2023-03-29 13:18:32 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Samantha Jones,50042110,68314870684,ENGENHEIRO,Não,samantha.jones@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,V&V SW - Aeronaves Civis,12-05-17,2023-03-29 13:18:17 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Madison Gray,50038903,90121065677,ENGENHEIRO,Não,madison.gray@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,V&V SW - Aeronaves Civis,11-03-16,2023-03-29 13:18:18 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Lisa Forbes,2172812,2261865040,ENGENHEIRO,Não,lisa.forbes@situated.com.br,,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,07-05-21,2024-04-25 13:19:11 UTC,Susan Carter,9,9,10,9,9,9.2,2024-04-25 13:19:11 UTC,10,10,11,9,10,10,9.6,2024-04-25 13:19:11 UTC,,,,,,,
Arnold Stewart,50053224,35723282689,ENGENHEIRO,Não,arnold.stewart@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,05-07-21,2023-07-19 17:28:30 UTC,Susan Carter,0,0,0,0,0,0,,10,10,11,9,10,10,10,2023-07-19 17:28:30 UTC,,,,,,,
Patrick Gonzalez,50044303,35793066691,ENGENHEIRO,Não,patrick.gonzalez@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Militares,12-05-17,2023-03-29 13:18:32 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Oscar Wang,50041536,45037851688,ENGENHEIRO,Não,orcar.wang@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Q&A de Processos,09-15-17,2024-02-21 17:23:02 UTC,Susan Carter,7,7,6,7,6,6.6,2024-02-21 17:23:02 UTC,9,9,7,8,6,7.8,7.2,2024-02-21 17:23:02 UTC,,,,,,,
Natalie Baker,50041744,47999077607,ENGENHEIRO,Não,natalie.baker@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor Técnico de Q&A,11-01-17,2023-03-29 13:18:17 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Oscar Wang,50041536,45037851688,ENGENHEIRO,Não,orcar.wang@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Militares,09-15-17,2023-03-29 13:18:31 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Lauren Stewart,47586068,59496197060,ENGENHEIRO DE SOFTWARE ESPECIALISTA,Não,lauren.stewart@situated.com.br,,Próprio,30086010654,7:00:00,17:00:00,Consultor DEV - Aeronaves Civis,07-13-00,2023-05-17 12:18:12 UTC,Katie Sanders,0,0,0,0,0,0,,10,9,11,7,9,9.2,9.2,2023-05-17 12:18:12 UTC,DEV: Aviação Civil,Expandido de Gestor,G1: DEV - SW Embarcado,DEV: Aviação Civil,,,
Lauren Stewart,47586068,59496197060,ENGENHEIRO DE SOFTWARE ESPECIALISTA,Não,lauren.stewart@situated.com.br,,Próprio,44574740612,7:00:00,17:00:00,Consultor DEV - Aeronaves Militares,07-13-00,2023-03-29 13:18:22 UTC,David Bennett,10,9,11,9,9,9.6,2023-03-29 13:18:22 UTC,10,9,11,7,9,9.2,9.4,2023-03-29 13:18:22 UTC,DEV: Aviação Militar,Expandido de Gestor,G1: DEV - SW Embarcado,DEV: Aviação Militar,,,
